Query,Number of Overlapping Results,Percent Overlap,Spearman Coefficient
Query 1,2,20.0,-36.0
Query 2,2,20.0,-39.0
Query 3,2,20.0,-48.0
Query 4,3,30.0,-9.5
Query 5,2,20.0,-25.0
Query 6,2,20.0,-88.0
Query 7,5,50.0,-4.0
Query 8,5,50.0,-3.5999999999999996
Query 9,5,50.0,-2.3
Query 10,0,0.0,0
Query 11,5,50.0,-1.7000000000000002
Query 12,0,0.0,0
Query 13,5,50.0,-5.35
Query 14,0,0.0,0
Query 15,4,40.0,0.0
Query 16,5,50.0,-0.10000000000000009
Query 17,1,10.0,0
Query 18,3,30.0,-12.5
Query 19,0,0.0,0
Query 20,0,0.0,0
Query 21,3,30.0,-2.5
Query 22,1,10.0,0
Query 23,4,40.0,-3.0999999999999996
Query 24,4,40.0,-5.6
Query 25,7,70.0,-1.625
Query 26,0,0.0,0
Query 27,1,10.0,0
Query 28,3,30.0,-27.5
Query 29,2,20.0,-51.0
Query 30,2,20.0,-12.0
Query 31,3,30.0,-11.5
Query 32,3,30.0,-2.5
Query 33,3,30.0,-13.5
Query 34,3,30.0,-3.25
Query 35,3,30.0,-10.25
Query 36,5,50.0,-3.45
Query 37,1,10.0,0
Query 38,2,20.0,-4.0
Query 39,1,10.0,0
Query 40,5,50.0,-1.2000000000000002
Query 41,4,40.0,-6.8
Query 42,5,50.0,-3.1500000000000004
Query 43,0,0.0,0
Query 44,2,20.0,0.0
Query 45,6,60.0,-0.2857142857142858
Query 46,2,20.0,-7.0
Query 47,0,0.0,0
Query 48,4,40.0,-1.7000000000000002
Query 49,6,60.0,-1.3714285714285714
Query 50,5,50.0,-3.25
Query 51,5,50.0,-3.5999999999999996
Query 52,7,70.0,-0.8214285714285714
Query 53,3,30.0,-9.25
Query 54,3,30.0,-5.5
Query 55,5,50.0,-1.65
Query 56,4,40.0,-0.19999999999999996
Query 57,5,50.0,-5.35
Query 58,3,30.0,0.0
Query 59,1,10.0,0
Query 60,0,0.0,0
Query 61,0,0.0,0
Query 62,1,10.0,1
Query 63,1,10.0,0
Query 64,1,10.0,0
Query 65,2,20.0,-19.0
Query 66,2,20.0,-4.0
Query 67,3,30.0,-8.0
Query 68,5,50.0,-1.5
Query 69,0,0.0,0
Query 70,5,50.0,0.19999999999999996
Query 71,3,30.0,-0.5
Query 72,0,0.0,0
Query 73,3,30.0,-1.5
Query 74,5,50.0,-3.5999999999999996
Query 75,2,20.0,-17.0
Query 76,5,50.0,-3.05
Query 77,2,20.0,-3.0
Query 78,3,30.0,-6.25
Query 79,2,20.0,-96.0
Query 80,4,40.0,-4.2
Query 81,1,10.0,0
Query 82,2,20.0,-64.0
Query 83,4,40.0,-3.4000000000000004
Query 84,3,30.0,-25.25
Query 85,1,10.0,1
Query 86,2,20.0,-3.0
Query 87,2,20.0,-28.0
Query 88,4,40.0,-3.5
Query 89,5,50.0,-2.1
Query 90,4,40.0,-1.6
Query 91,2,20.0,-16.0
Query 92,2,20.0,-4.0
Query 93,1,10.0,0
Query 94,5,50.0,-0.3500000000000001
Query 95,6,60.0,0.0
Query 96,4,40.0,-3.0
Query 97,1,10.0,0
Query 98,2,20.0,-19.0
Query 99,6,60.0,-3.0857142857142854
Query 100,1,10.0,0
Averages,2.84,28.4,-8.19639285714286
